49.259410	-123.241421
49.25938530	-123.24161410
49.25932230	-123.24181260
49.25926630	-123.24188770
49.25917880	-123.24195210
49.25908070	-123.24187160
49.25895120	-123.24176430
49.25887420	-123.24166240
49.25877880	-123.24153230
49.25865620	-123.24144780
49.25861690	-123.24128420
49.25872980	-123.24095430
49.25873500	-123.24045810
49.25882170	-123.24043120
49.25888120	-123.24038830
49.25892320	-123.24035350
49.25895470	-123.24028640
49.25897750	-123.24021400
49.25896870	-123.24018450
49.25894070	-123.24016170
49.25891530	-123.24018580
49.25892410	-123.24024350
49.25893630	-123.24028510
49.25896700	-123.24033870
49.25901860	-123.24035880
49.25907550	-123.24036420
49.25914290	-123.24036690
49.25921550	-123.24050370
49.25917620	-123.24053050
49.25949040	-123.24044870
49.25945540	-123.24053850
49.25946940	-123.24067670
49.25950350	-123.24061500
49.25945360	-123.24070220
49.25946850	-123.24081350
49.25951750	-123.24086440
49.25947460	-123.24101330
49.25944400	-123.24117690
49.25943790	-123.24129360
49.25943790	-123.24129360
49.25938800	-123.24132170
49.25938800	-123.24132170
